Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SP,Jose Quintana,9100,CWS@Min 08:10PM ET,9.625,CWS
SP,Danny Duffy,8900,LAA@KC 08:15PM ET,19.525,KC
SP,Carlos Rodon,8700,CWS@Min 08:10PM ET,0,CWS
SP,Matt Shoemaker,8300,LAA@KC 08:15PM ET,2.7,LAA
SP,Garrett Richards,8300,LAA@KC 08:15PM ET,16.1,LAA
SP,Ian Kennedy,8000,LAA@KC 08:15PM ET,11.575,KC
SP,Tyler Skaggs,7900,LAA@KC 08:15PM ET,5.925,LAA
SP,Ervin Santana,7500,CWS@Min 08:10PM ET,22.225,Min
SP,Ricky Nolasco,7300,LAA@KC 08:15PM ET,10.767,LAA
SP,Jason Hammel,7300,LAA@KC 08:15PM ET,4.175,KC
SP,Lucas Giolito,7000,CWS@Min 08:10PM ET,0,CWS
SP,Nate Karns,6900,LAA@KC 08:15PM ET,3.225,KC
SP,Miguel Gonzalez,6400,CWS@Min 08:10PM ET,13.7,CWS
SP,Jesse Chavez,6300,LAA@KC 08:15PM ET,9.533,LAA
SP,James Shields,6300,CWS@Min 08:10PM ET,19.7,CWS
SP,Jose Berrios,6300,CWS@Min 08:10PM ET,0,Min
SP,Hector Santiago,5900,CWS@Min 08:10PM ET,13.15,Min
SP,Kyle Zimmer,5800,LAA@KC 08:15PM ET,0,KC
SP,Kyle Gibson,5800,CWS@Min 08:10PM ET,5.225,Min
SP,Reynaldo Lopez,5800,CWS@Min 08:10PM ET,0,CWS
SP,Tyler Duffey,5700,CWS@Min 08:10PM ET,5.5,Min
SP,Adalberto Mejia,5600,CWS@Min 08:10PM ET,-3.25,Min
SP,Phil Hughes,5500,CWS@Min 08:10PM ET,16.225,Min
SP,Jason Vargas,5300,LAA@KC 08:15PM ET,28.775,KC
OF,Mike Trout,5200,LAA@KC 08:15PM ET,10.455,LAA
SP,Jake Junis,5100,LAA@KC 08:15PM ET,0.45,KC
SP,Derek Holland,5100,CWS@Min 08:10PM ET,19.2,CWS
SP,Mike Minor,5000,LAA@KC 08:15PM ET,1.93,KC
SP,Eric Skoglund,4700,LAA@KC 08:15PM ET,0,KC
2B,Brian Dozier,4700,CWS@Min 08:10PM ET,8.889,Min
SP,Abel De los Santos,4600,LAA@KC 08:15PM ET,0,LAA
1B/3B,Todd Frazier,4600,CWS@Min 08:10PM ET,5.857,CWS
SP,Yusmeiro Petit,4500,LAA@KC 08:15PM ET,5.475,LAA
SP,Bud Norris,4500,LAA@KC 08:15PM ET,4.638,LAA
1B,Jose Abreu,4400,CWS@Min 08:10PM ET,5.25,CWS
SP,Chris Young,4300,LAA@KC 08:15PM ET,0.2,KC
RP,Matt Strahm,4200,LAA@KC 08:15PM ET,-5.667,KC
3B,Miguel Sano,4200,CWS@Min 08:10PM ET,13,Min
OF,Lorenzo Cain,4100,LAA@KC 08:15PM ET,9.333,KC
OF,Melky Cabrera,4100,CWS@Min 08:10PM ET,6.5,CWS
SP,JC Ramirez,4000,LAA@KC 08:15PM ET,3.838,LAA
SP,Daniel Wright,4000,LAA@KC 08:15PM ET,-0.6,LAA
RP,Joakim Soria,4000,LAA@KC 08:15PM ET,3.838,KC
RP,Peter Moylan,4000,LAA@KC 08:15PM ET,3.86,KC
RP,Huston Street,4000,LAA@KC 08:15PM ET,0,LAA
RP,Travis Wood,4000,LAA@KC 08:15PM ET,-1.48,KC
RP,Andrew Bailey,4000,LAA@KC 08:15PM ET,4.113,LAA
RP,Blake Parker,4000,LAA@KC 08:15PM ET,4.69,LAA
RP,Jose Alvarez,4000,LAA@KC 08:15PM ET,2.19,LAA
RP,Kelvin Herrera,4000,LAA@KC 08:15PM ET,0.983,KC
RP,Brooks Pounders,4000,LAA@KC 08:15PM ET,0,LAA
RP,Mike Morin,4000,LAA@KC 08:15PM ET,1.925,LAA
RP,Scott Alexander,4000,LAA@KC 08:15PM ET,5.25,KC
RP,Cam Bedrosian,4000,LAA@KC 08:15PM ET,7.017,LAA
1B,Albert Pujols,4000,LAA@KC 08:15PM ET,6.818,LAA
1B,Eric Hosmer,4000,LAA@KC 08:15PM ET,4.111,KC
SP,Dylan Covey,4000,CWS@Min 08:10PM ET,0,CWS
